Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T15:29:53.611696,11.223087599966675
2,2,2025-11-30T15:30:00.793025,6.588064800016582
3,4,2025-11-30T15:30:09.493057,8.103807399980724
4,4,2025-11-30T15:30:19.309501,9.187895099865273
5,4,2025-11-30T15:30:23.873605,3.969703699927777
6,1,2025-11-30T15:30:30.382649,5.878258999902755
7,4,2025-11-30T15:30:39.331275,8.327217700192705
8,1,2025-11-30T15:30:43.121243,3.2018273000139743
9,3,2025-11-30T15:30:48.822259,5.10350520000793
10,1,2025-11-30T15:30:55.797801,6.378702600020915
11,1,2025-11-30T15:31:00.305466,3.9198229000903666
12,1,2025-11-30T15:31:06.085984,5.183677599998191
13,3,2025-11-30T15:31:11.269443,4.568261799868196
14,1,2025-11-30T15:31:18.891742,6.990846199914813
15,2,2025-11-30T15:31:24.587293,5.103858700022101
16,4,2025-11-30T15:31:29.336038,4.152395799988881
17,1,2025-11-30T15:31:35.780733,5.830367600079626
18,3,2025-11-30T15:31:45.090913,8.689532099990174
19,2,2025-11-30T15:31:49.925410,4.242726600030437
20,4,2025-11-30T15:31:53.468104,2.9525324997957796
