Trial,KeyPressed,TimeStamp,RT
1,3,2025-11-30T17:13:07.373716,32.942832899978384
2,3,2025-11-30T17:13:13.848655,5.869690499966964
3,3,2025-11-30T17:13:18.396630,3.9500772000756115
4,4,2025-11-30T17:13:23.099427,4.103504600003362
5,3,2025-11-30T17:13:27.876041,4.180592400021851
6,2,2025-11-30T17:13:31.155762,2.6775104000698775
7,4,2025-11-30T17:13:36.042985,4.2587228999473155
8,4,2025-11-30T17:13:39.806060,3.1616551000624895
9,3,2025-11-30T17:13:44.878587,4.466883499873802
10,3,2025-11-30T17:13:50.175237,4.697854400146753
11,3,2025-11-30T17:13:53.914608,3.1373928000684828
12,1,2025-11-30T17:13:57.705787,3.1951469001360238
13,3,2025-11-30T17:13:59.852633,1.5598647000733763
14,3,2025-11-30T17:14:03.950622,3.5075848000124097
15,1,2025-11-30T17:14:07.090762,2.5311356000602245
16,1,2025-11-30T17:14:09.714050,2.021102200029418
17,2,2025-11-30T17:14:12.620538,2.2944290000014007
18,4,2025-11-30T17:14:15.497213,2.2879180999007076
19,4,2025-11-30T17:14:18.549065,2.4545078999362886
20,1,2025-11-30T17:14:21.643353,2.4842856000177562
