Trial,KeyPressed,TimeStamp,RT
1,4,2025-11-30T15:19:29.484827,10.759110799990594
2,4,2025-11-30T15:19:35.964008,5.855877399910241
3,1,2025-11-30T15:19:43.416065,6.857196300057694
4,2,2025-11-30T15:19:50.379573,6.338295199908316
5,2,2025-11-30T15:20:04.160436,13.169227699982002
6,3,2025-11-30T15:20:07.601436,2.8280014998745173
7,4,2025-11-30T15:20:11.656883,3.4340895998757333
8,3,2025-11-30T15:20:15.828220,3.555586399976164
9,3,2025-11-30T15:20:18.954933,2.5156501999590546
10,3,2025-11-30T15:20:24.772428,5.183647699886933
11,3,2025-11-30T15:20:33.121140,7.748847699956968
12,1,2025-11-30T15:20:39.019461,5.29776079999283
13,3,2025-11-30T15:20:42.324665,2.686766600003466
14,3,2025-11-30T15:20:44.740401,1.785956900101155
15,1,2025-11-30T15:20:48.599703,3.261758399894461
16,3,2025-11-30T15:20:50.930365,1.7424714998342097
17,4,2025-11-30T15:20:56.810741,5.272834399947897
18,4,2025-11-30T15:21:01.747790,4.342661099974066
19,3,2025-11-30T15:21:06.065215,3.7120879001449794
20,2,2025-11-30T15:21:08.607297,1.937017200049013
