Trial,KeyPressed,TimeStamp,RT
1,3,2025-11-30T17:37:22.063804,7.067609600024298
2,3,2025-11-30T17:37:31.515497,8.685722100082785
3,2,2025-11-30T17:37:34.242509,1.9299832000397146
4,4,2025-11-30T17:37:44.994746,9.999895999906585
5,3,2025-11-30T17:37:50.873282,5.111557599855587
6,2,2025-11-30T17:37:57.639124,6.011612900067121
7,1,2025-11-30T17:38:01.414264,3.0203174999915063
8,3,2025-11-30T17:38:05.182359,2.9877902001608163
9,1,2025-11-30T17:38:10.185329,4.1742964999284595
10,1,2025-11-30T17:38:26.543385,15.58281150017865
11,1,2025-11-30T17:38:28.989252,1.6633860999718308
12,4,2025-11-30T17:38:32.565737,2.806253500049934
13,1,2025-11-30T17:38:37.314975,3.939556600060314
14,2,2025-11-30T17:38:46.299587,8.22402140009217
15,3,2025-11-30T17:38:49.600807,2.542551500024274
16,1,2025-11-30T17:38:52.772108,2.361955299973488
17,1,2025-11-30T17:38:57.325976,3.6666710001882166
18,4,2025-11-30T17:39:07.051609,8.957906200084835
19,4,2025-11-30T17:39:13.383802,5.560017300071195
20,3,2025-11-30T17:39:16.557608,2.417844400042668
