Trial,KeyPressed,TimeStamp,RT
1,4,2025-11-30T18:20:28.265116,6.57069219998084
2,3,2025-11-30T18:20:30.675651,1.8139960998669267
3,2,2025-11-30T18:20:33.357578,2.0972861000336707
4,2,2025-11-30T18:20:45.575576,11.630756199825555
5,3,2025-11-30T18:20:50.492392,4.315391400130466
6,4,2025-11-30T18:20:53.422920,2.3460780000314116
7,3,2025-11-30T18:21:07.589525,13.56247240002267
8,4,2025-11-30T18:21:10.261292,2.0856901998631656
9,4,2025-11-30T18:21:19.022723,8.180574000114575
10,2,2025-11-30T18:21:21.226581,1.617278999881819
11,3,2025-11-30T18:21:27.130904,5.3058214001357555
12,1,2025-11-30T18:21:34.426696,6.701794299995527
13,1,2025-11-30T18:21:36.826906,1.8013883999083191
14,1,2025-11-30T18:21:38.520075,1.0789007002022117
15,1,2025-11-30T18:21:40.523025,1.4160881000570953
16,2,2025-11-30T18:21:42.805480,1.6814626001287252
17,2,2025-11-30T18:21:48.701748,5.2782328999601305
18,4,2025-11-30T18:21:52.062410,2.770765299908817
19,1,2025-11-30T18:21:54.347352,1.6576179000549018
20,2,2025-11-30T18:21:56.319827,1.3636775999329984
