Trial,KeyPressed,TimeStamp,RT
1,4,2025-11-30T15:17:47.932004,12.883794399909675
2,2,2025-11-30T15:17:50.868985,2.3210611999966204
3,1,2025-11-30T15:17:55.626466,4.161724400008097
4,3,2025-11-30T15:18:00.007078,3.775748600019142
5,1,2025-11-30T15:18:06.083292,5.452884600032121
6,1,2025-11-30T15:18:08.670454,1.974290099926293
7,4,2025-11-30T15:18:10.941942,1.661918600089848
8,3,2025-11-30T15:18:17.558444,6.012105700094253
9,3,2025-11-30T15:18:19.900713,1.7378265999723226
10,4,2025-11-30T15:18:23.650900,3.1376056999433786
11,1,2025-11-30T15:18:26.502128,2.222590000135824
12,4,2025-11-30T15:18:28.871706,1.7596860998310149
13,2,2025-11-30T15:18:32.711029,3.232439799932763
14,3,2025-11-30T15:18:35.106764,1.7777359001338482
15,4,2025-11-30T15:18:38.684698,2.9718299999367446
16,3,2025-11-30T15:18:42.662495,3.351171099813655
17,4,2025-11-30T15:18:45.261228,1.9835586999543011
18,4,2025-11-30T15:18:48.168615,2.3070640000514686
19,4,2025-11-30T15:18:52.543936,3.7644923999905586
20,2,2025-11-30T15:18:56.645565,3.484686599811539
