Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T18:17:31.917063,10.194920500041917
2,3,2025-11-30T18:17:37.871547,5.349329699994996
3,1,2025-11-30T18:17:47.522372,9.051812399877235
4,4,2025-11-30T18:17:59.973493,11.852330199908465
5,3,2025-11-30T18:18:02.533466,1.9796442000661045
6,4,2025-11-30T18:18:06.661209,3.541422300040722
7,2,2025-11-30T18:18:09.224112,1.970878800144419
8,4,2025-11-30T18:18:27.165555,17.36260629980825
9,3,2025-11-30T18:18:29.404504,1.6191080000717193
10,4,2025-11-30T18:18:32.984547,2.999222100013867
11,1,2025-11-30T18:18:36.529742,2.9620378999970853
12,4,2025-11-30T18:18:45.529663,8.411971200024709
13,3,2025-11-30T18:18:50.085637,3.96807110006921
14,4,2025-11-30T18:18:52.407796,1.7407110999338329
15,1,2025-11-30T18:19:10.495272,17.494848900008947
16,4,2025-11-30T18:19:15.403867,4.3044803000520915
17,1,2025-11-30T18:19:18.097962,2.0984769999049604
18,4,2025-11-30T18:19:22.505325,3.8061695999931544
19,2,2025-11-30T18:19:24.764222,1.665044799912721
20,2,2025-11-30T18:19:32.138371,6.772577699972317
