Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T18:29:25.290489,150.1524064000696
2,2,2025-11-30T18:29:34.703382,8.807420499855652
3,2,2025-11-30T18:29:38.083640,2.7866346000228077
4,4,2025-11-30T18:29:44.903435,6.224393000127748
5,3,2025-11-30T18:29:53.827798,8.332089700037614
6,1,2025-11-30T18:29:59.736123,5.30691729998216
7,1,2025-11-30T18:30:05.431081,5.1031092999037355
8,2,2025-11-30T18:30:08.927596,2.8999583998229355
9,3,2025-11-30T18:30:16.080392,6.569310799939558
10,3,2025-11-30T18:30:18.754327,2.076783899916336
11,4,2025-11-30T18:30:24.986650,5.642308000009507
12,2,2025-11-30T18:30:32.130156,6.553913099924102
13,4,2025-11-30T18:30:44.122009,11.39519890001975
14,1,2025-11-30T18:30:53.058623,8.349804299883544
15,2,2025-11-30T18:31:05.492207,11.833845400018618
16,4,2025-11-30T18:31:30.008849,23.917540300171822
17,2,2025-11-30T18:31:43.942946,13.336602200055495
18,3,2025-11-30T18:31:48.452230,3.911862399894744
19,1,2025-11-30T18:31:54.070857,4.99890790018253
20,4,2025-11-30T18:31:58.703558,4.031541500007734
