Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T15:48:18.718932,32.15977340005338
2,1,2025-11-30T15:48:24.629913,5.306087200064212
3,4,2025-11-30T15:48:30.545609,5.320231700083241
4,3,2025-11-30T15:48:41.929272,10.788233999861404
5,1,2025-11-30T15:48:52.115608,9.591916700126603
6,4,2025-11-30T15:48:56.302781,3.5623190000187606
7,3,2025-11-30T15:49:01.091355,4.202625300036743
8,4,2025-11-30T15:49:12.831069,11.141773900017142
9,2,2025-11-30T15:49:22.224698,8.802858100039884
10,1,2025-11-30T15:49:27.934158,5.129525900119916
11,3,2025-11-30T15:49:31.052000,2.531313000014052
12,1,2025-11-30T15:49:33.817378,2.164195700082928
13,3,2025-11-30T15:49:49.887346,15.483316800091416
14,2,2025-11-30T15:49:54.325683,3.856151199899614
15,3,2025-11-30T15:50:04.596481,9.642954599810764
16,1,2025-11-30T15:50:11.106984,5.922158299945295
17,2,2025-11-30T15:50:17.382232,5.6808299999684095
18,1,2025-11-30T15:50:21.830938,3.8614906000439078
19,4,2025-11-30T15:50:26.719225,4.30154150002636
20,1,2025-11-30T15:50:35.553500,8.236210699891672
