Trial,KeyPressed,TimeStamp,RT
1,1,2025-11-30T15:44:57.353666,20.233695899834856
2,4,2025-11-30T15:45:00.685285,2.731423200108111
3,2,2025-11-30T15:45:10.749243,9.463199299992993
4,3,2025-11-30T15:45:29.074903,17.70591380004771
5,4,2025-11-30T15:45:33.844313,4.175630399957299
6,2,2025-11-30T15:45:36.887817,2.453802299918607
7,1,2025-11-30T15:45:39.637410,2.1195371998474
8,1,2025-11-30T15:45:50.707590,10.490860600024462
9,3,2025-11-30T15:45:54.538949,3.2389172001276165
10,3,2025-11-30T15:46:08.642307,13.525490300031379
11,1,2025-11-30T15:46:11.461761,2.1959601999260485
12,3,2025-11-30T15:46:15.387989,3.3396477000787854
13,2,2025-11-30T15:46:20.736989,4.721673999913037
14,4,2025-11-30T15:46:28.995470,7.6307490998879075
15,2,2025-11-30T15:46:43.872030,14.25733059993945
16,1,2025-11-30T15:47:10.657919,26.193966899998486
17,4,2025-11-30T15:47:14.214043,2.9681819998659194
18,1,2025-11-30T15:47:17.364194,2.5518029001541436
19,1,2025-11-30T15:47:18.811291,0.8483768999576569
20,2,2025-11-30T15:47:31.760419,12.349216199945658
