Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T17:25:17.769746,18.148550699930638
2,1,2025-11-30T17:25:20.696010,2.3249038998037577
3,2,2025-11-30T17:25:24.118891,2.832365900045261
4,2,2025-11-30T17:25:27.304227,2.583357800031081
5,4,2025-11-30T17:25:30.488309,2.5667982001323253
6,3,2025-11-30T17:25:33.842946,2.7726687998510897
7,3,2025-11-30T17:25:37.617635,3.180995099944994
8,2,2025-11-30T17:25:41.688594,3.4860603001434356
9,3,2025-11-30T17:25:44.277576,1.9916865001432598
10,3,2025-11-30T17:25:55.545796,10.659806899959221
11,2,2025-11-30T17:25:58.462235,2.3265272001735866
12,3,2025-11-30T17:26:01.735298,2.6836445000953972
13,3,2025-11-30T17:26:04.277526,1.94198440015316
14,2,2025-11-30T17:26:08.238722,3.353990999981761
15,1,2025-11-30T17:26:12.962332,4.110648500034586
16,3,2025-11-30T17:26:15.377427,1.7929215000476688
17,3,2025-11-30T17:26:21.083061,5.098791299853474
18,4,2025-11-30T17:26:23.805120,2.11961039993912
19,3,2025-11-30T17:26:28.855657,4.438567299861461
20,4,2025-11-30T17:26:31.442797,1.992649600142613
