Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T17:14:49.751266,8.493713800096884
2,1,2025-11-30T17:14:52.382911,2.009648900013417
3,2,2025-11-30T17:14:56.094622,3.104697899892926
4,1,2025-11-30T17:14:59.244478,2.554899200098589
5,1,2025-11-30T17:15:08.244148,8.404030799865723
6,4,2025-11-30T17:15:17.309070,8.469273200025782
7,4,2025-11-30T17:15:24.870533,6.948150400072336
8,2,2025-11-30T17:15:28.819546,3.3638958998490125
9,3,2025-11-30T17:15:31.392634,1.9873293000273407
10,3,2025-11-30T17:15:38.775206,6.786547600058839
11,3,2025-11-30T17:15:43.212257,3.840991900069639
12,1,2025-11-30T17:15:51.674656,7.870244899997488
13,1,2025-11-30T17:15:55.632779,3.34504729998298
14,4,2025-11-30T17:15:58.700375,2.4472083000000566
15,4,2025-11-30T17:16:05.362362,6.059450099943206
16,1,2025-11-30T17:16:08.004957,2.035257800016552
17,1,2025-11-30T17:16:11.056810,2.454696800094098
18,1,2025-11-30T17:16:13.712221,2.0763401000294834
19,1,2025-11-30T17:16:16.938916,2.6341089999768883
20,1,2025-11-30T17:16:18.786971,1.2510048998519778
