Trial,KeyPressed,TimeStamp,RT
1,2,2025-11-30T15:26:55.964167,107.79212000011466
2,3,2025-11-30T15:27:06.708695,10.143401299836114
3,2,2025-11-30T15:27:11.893159,4.593954699812457
4,2,2025-11-30T15:27:14.984347,2.4867138999979943
5,2,2025-11-30T15:27:21.165253,5.5838270001113415
6,4,2025-11-30T15:27:28.757025,7.0094162998721
7,1,2025-11-30T15:27:31.862193,2.4981102000456303
8,1,2025-11-30T15:27:36.810341,4.3301446998957545
9,4,2025-11-30T15:27:42.128207,4.730429999995977
10,4,2025-11-30T15:27:49.281654,6.56830559996888
11,2,2025-11-30T15:27:52.738572,2.8587387001607567
12,2,2025-11-30T15:27:56.730620,3.400744700105861
13,1,2025-11-30T15:27:59.083092,1.7543046998325735
14,2,2025-11-30T15:28:01.945039,2.2660622999537736
15,3,2025-11-30T15:28:06.801732,4.256234000204131
16,4,2025-11-30T15:28:12.173558,4.778527999995276
17,3,2025-11-30T15:28:15.651292,2.8726335999090225
18,1,2025-11-30T15:28:17.928575,1.6668596998788416
19,3,2025-11-30T15:28:21.864585,3.3359223001170903
20,3,2025-11-30T15:28:24.559577,2.0990435001440346
