Trial,KeyPressed,TimeStamp,RT
1,3,2025-11-30T18:36:33.468553,41.344228900037706
2,3,2025-11-30T18:36:38.041412,3.83651309995912
3,1,2025-11-30T18:36:40.490968,1.7191351999063045
4,2,2025-11-30T18:36:44.166962,2.9450993998907506
5,3,2025-11-30T18:36:48.058772,3.1533400998450816
6,1,2025-11-30T18:36:50.511993,1.6901442999951541
7,2,2025-11-30T18:36:54.748758,3.5105129000730813
8,4,2025-11-30T18:36:57.630601,2.1413374999538064
9,4,2025-11-30T18:37:00.206108,1.8189741999376565
10,3,2025-11-30T18:37:04.538231,3.5673332000151277
11,1,2025-11-30T18:37:07.080361,1.7935816999524832
12,4,2025-11-30T18:37:14.153196,6.314064299920574
13,3,2025-11-30T18:37:20.094033,5.1894389998633415
14,2,2025-11-30T18:37:28.853144,7.982201299862936
15,1,2025-11-30T18:37:33.293150,3.673531200038269
16,2,2025-11-30T18:37:40.913152,6.877372200135142
17,2,2025-11-30T18:37:47.133056,5.447680899873376
18,1,2025-11-30T18:37:50.494602,2.623519199900329
19,1,2025-11-30T18:37:57.627968,6.3582712998613715
20,1,2025-11-30T18:38:00.123643,1.722102499799803
