Trial,KeyPressed,TimeStamp,RT
1,1,2025-11-30T18:05:42.555878,10.02603939990513
2,4,2025-11-30T18:05:46.547915,3.38512310013175
3,1,2025-11-30T18:05:50.545295,3.4163297000341117
4,1,2025-11-30T18:05:57.199878,6.070798400091007
5,3,2025-11-30T18:05:59.906778,2.1108387999702245
6,4,2025-11-30T18:06:05.396056,4.883755000075325
7,3,2025-11-30T18:06:08.405361,2.426931400084868
8,2,2025-11-30T18:06:12.351767,3.3402128000743687
9,3,2025-11-30T18:06:16.958121,3.9976814999245107
10,2,2025-11-30T18:06:19.824471,2.263454900123179
11,3,2025-11-30T18:06:22.145355,1.7343713999725878
12,3,2025-11-30T18:06:25.587047,2.860273800091818
13,4,2025-11-30T18:06:28.240898,2.0633973001968116
14,4,2025-11-30T18:06:31.670096,2.826032300014049
15,4,2025-11-30T18:06:38.091779,5.831593699986115
16,3,2025-11-30T18:06:40.977979,2.301802200032398
17,1,2025-11-30T18:06:45.243484,3.667670799884945
18,3,2025-11-30T18:06:50.492834,4.648830399848521
19,4,2025-11-30T18:06:54.158062,3.0826113000512123
20,3,2025-11-30T18:07:00.740909,5.981609999900684
